Date,Open,High,Low,Close,Volume
2010-06-02,27095635531.346313,27468581028.417198,24713351171.032768,24736185275.733334,0
2010-06-03,24675297756.481018,25010188760.329048,23624961726.130276,23822851549.866665,0
2010-06-04,25619068168.696575,27171740068.952736,24340398516.451397,26935794073.599998,0
2010-06-07,26304072479.300217,30086805070.492638,26106182720.397175,29866081211.733334,0
2010-06-08,27910025455.521629,32438649575.301327,27910025455.521629,30200976725.333332,0
2010-06-09,28990808268.358860,31220870975.757450,27537080852.013657,30863145915.733334,0
2010-06-10,29181079875.240780,30003083247.359539,27293520360.944778,27384853299.200001,0
2010-06-11,28549357160.615040,28549357160.615040,26090960774.379169,26212739754.666668,0
2010-06-14,25223296505.822552,25756075511.909599,24241459498.583942,25664740829.866665,0
2010-06-15,25116737136.179096,25116737136.179096,21235059437.064152,21440561152.000000,0
2010-06-16,22079896901.231236,22422398053.858269,20633781500.791191,21120894020.266666,0
2010-06-17,20892555990.320969,22315838752.155266,20702278185.289192,21265501388.799999,0
2010-06-18,21402504068.838528,21691726769.128563,20831668880.394817,21417726225.066666,0
2010-06-21,22072285981.251118,22331064390.686691,19781334824.100246,21942896776.533333,0
2010-06-22,21889616753.946953,23305287689.247070,20999114543.729820,23115008136.533333,0
2010-06-23,22833402166.773026,24127294390.451267,22011398621.884418,22871456699.733334,0
2010-06-24,23449900341.888367,25139571917.773083,23092177049.120781,24941682141.866665,0
2010-06-25,24401292197.689697,26205130890.258984,24393681984.752300,24896016657.066666,0
2010-06-28,24652462676.856998,25322241147.170048,23708681876.377251,24507851298.133335,0
2010-06-29,25877851537.357956,28282969760.508171,25877851537.357956,27788247040.000000,0
2010-06-30,27970912248.668808,29325692903.351864,26768353166.447025,29158250905.599998,0
2010-07-01,28907081885.793350,31380698821.072521,28229689845.883045,29013636983.466667,0
2010-07-02,28145969428.159805,30741365403.246563,28145969428.159805,29371360870.400002,0
2010-07-06,27674082701.267868,30041143164.183033,27042358768.397213,29417032908.799999,0
2010-07-07,29097360363.495659,29135418356.572647,24789460190.000801,24918849399.466667,0
2010-07-08,23937012837.063137,26113796908.122631,23937012837.063137,24941682141.866665,0
2010-07-09,24979737844.912876,25390737812.849117,24028345245.602139,24074011716.266666,0
2010-07-12,24013122478.915516,24134901462.883919,23031287322.717030,23290065715.200001,0
2010-07-13,22422400459.858086,22841012447.335518,21493841795.228775,21882009463.466667,0
2010-07-14,21052392810.137333,22331064434.267353,20542447934.998188,21980951347.200001,0
2010-07-15,22049449092.758263,23373785287.584732,22003782626.032410,22133171814.400002,0
2010-07-16,22742067415.208015,24309961970.867702,22498511130.713329,24264295492.266666,0
2010-07-19,23914178786.397255,24058790146.340755,22376730511.449383,22506119714.133335,0
2010-07-20,24355622072.193798,24896012924.033039,22384338207.118755,22399560362.666668,0
2010-07-21,21950506315.400581,23898956271.075035,21950506315.400581,23739122756.266666,0
2010-07-22,22818181264.179741,23092181883.584507,21037174640.114902,21448176435.200001,0
2010-07-23,21965733320.862957,22308234527.603958,20976285967.596478,21128509303.466667,0
2010-07-26,20869725640.144596,21661282978.959698,20230389867.281166,20276056337.066666,0
2010-07-27,20131445265.640919,20983892974.741917,19971611753.173351,20770781047.466667,0
2010-07-28,20747952817.209705,22133179870.491131,20542452776.167263,21843957077.333332,0
2010-07-29,21836335612.951500,23975063039.147926,21562335100.338726,23107395037.866665,0
2010-07-30,23898962354.397602,25086299564.859985,23427071902.393887,23822851549.866665,0
2010-08-02,22620289648.796154,23548848288.053608,22323454946.387581,22635511808.000000,0
2010-08-03,22643116561.020359,23845675507.894173,22612672249.954605,23297674444.799999,0
2010-08-04,23092179208.443417,23838070178.179958,22528954142.511639,22612676881.066666,0
2010-08-05,22833401824.728653,23328124601.448174,22399565953.442383,23008457523.200001,0
2010-08-06,23761960120.994152,24348015845.122025,22582233263.288052,23145458346.666668,0
2010-08-09,22559398671.786842,23381400379.391476,22422397521.208275,22704010035.200001,0
2010-08-10,23769567432.356258,25078681616.780411,23769567432.356258,24431735603.200001,0
2010-08-11,26014855648.668110,28024194538.533630,26014855648.668110,27460971178.666668,0
2010-08-12,29287636862.418541,30254251591.385975,28092689786.561054,28496079530.666668,0
2010-08-13,28252520156.283176,29340912015.996349,27559907784.449429,29318077917.866665,0
2010-08-16,29614918739.325150,30307531215.784096,28168801694.226322,28929914743.466667,0
2010-08-17,28077470640.930435,28511304744.476009,26928189911.210251,27849136537.599998,0
2010-08-18,27757803397.646545,28176417098.289070,26479133387.203579,26890135142.400002,0
2010-08-19,27316357138.624107,28617861162.069759,26791188362.298847,28252525909.333332,0
2010-08-20,28031797092.604023,28503687338.271217,27186961469.873665,27932852224.000000,0
2010-08-23,27537077846.037281,28990805103.692089,27118465928.748417,28929914743.466667,0
2010-08-24,30132471737.307961,30954471579.030708,29432245672.831966,30345581909.333332,0
2010-08-25,31426367146.709133,31928700055.380344,29089747881.604855,29455083110.400002,0
2010-08-26,28967971545.047222,31464422670.458332,28808138026.865276,31175199948.799999,0
2010-08-27,30650033663.022549,32727871181.565769,28907083614.334850,29257194973.866665,0
2010-08-30,29280032701.874138,31586204603.733334,29272422488.049290,31586204603.733334,0
2010-08-31,32263587136.482624,33762978935.773907,30984915719.602425,33374813115.733334,0
2010-09-01,31746030705.809868,31867807947.471409,29196301522.990681,30360805922.133335,0
2010-09-02,29729085968.111691,30360809820.227669,28381913801.554886,28435192217.599998,0
2010-09-03,27164132863.592182,28473247053.516842,26387797644.033764,26920576614.400002,0
2010-09-07,27186971351.626575,28686363616.016621,27027136075.970535,28511307912.533333,0
2010-09-08,28153579537.158848,29729085783.308979,28107913065.956417,28929914743.466667,0
2010-09-09,27833912302.433983,29066913943.669086,27757799785.699894,28838581589.333332,0
2010-09-10,28861413794.765316,31167588745.982910,28709192226.073246,30003084219.733334,0
2010-09-13,29074529088.709091,29074529088.709091,26829244370.748447,27049966523.733334,0
2010-09-14,27232637541.489292,27932862079.934795,25048241182.257931,25626688443.733334,0
2010-09-15,26159468546.592697,26791192526.174236,25695190061.535957,25900690090.666668,0
2010-09-16,26174688244.586998,26456300780.350136,25124352359.453880,25246129629.866665,0
2010-09-17,24934070576.502407,25619072858.001930,24751404687.000320,25208072874.666668,0
2010-09-20,25246131617.129326,25953968118.966362,24743796873.223621,24873186099.200001,0
2010-09-21,24728569232.072803,25329848748.680103,24439346524.227360,24987347626.666668,0
2010-09-22,25634294596.541790,26638963900.207100,25177626416.338367,26037684360.533333,0
2010-09-23,27034746697.173710,27323969450.836452,24195794119.242867,25550574933.333332,0
2010-09-24,24454571896.314125,24454571896.314125,22391954680.690781,22452843315.200001,0
2010-09-27,22331067436.877014,23168291409.385098,22270177066.620068,22871456699.733334,0
2010-09-28,22825786538.785267,23533622906.694214,21646061568.211056,21745006455.466667,0
2010-09-29,22232125485.925083,22232125485.925083,20846898388.891193,21372067293.866665,0
2010-09-30,20968675139.742474,22391956620.447014,20534839251.392956,21760232652.799999,0
2010-10-01,21516674759.474354,22483287905.909729,21098062794.198494,21996175360.000000,0
2010-10-04,22110342683.724869,23617346816.066063,22095120524.728840,22932346197.333332,0
2010-10-05,22407181717.573856,22414793664.522549,21265510912.194893,21569957614.933334,0
2010-10-06,21531899707.970871,22924736945.522900,21425342850.522465,22407180014.933334,0
2010-10-07,22064673754.124893,22856231129.799534,21874395921.847122,22117952170.666668,0
2010-10-08,22521342514.784584,23000843080.092155,21326395341.972553,21524283392.000000,0
2010-10-11,21311175099.691952,21394896108.558167,20443505105.302956,20991506295.466667,0
2010-10-12,21273116182.217686,21630839473.495205,20314113353.089764,20565279812.266666,0
2010-10-13,20375001073.135967,21060003310.816673,20146666993.909065,20466335744.000000,0
2010-10-14,20397840242.940205,20961063636.754887,20040116878.716694,20633784593.066666,0
2010-10-15,20230392376.367126,21098062337.726795,20024892370.867378,20260836693.333332,0
2010-10-18,20253228854.419624,21113286971.387230,20253228854.419624,20633784593.066666,0
2010-10-19,21577562802.744209,22072287280.465267,20413059891.739422,21478617907.200001,0
2010-10-20,21463394838.068489,21912451089.594997,20808836858.998177,21136115848.533333,0
2010-10-21,20945835918.083557,21996171625.646736,20907779661.535503,21417726225.066666,0
2010-10-22,21364446531.615547,21364446531.615547,20024888204.061104,20192331912.533333,0
2010-10-25,19842226106.292568,19842226106.292568,19149613517.629601,19492114705.066666,0
2010-10-26,19788947202.030571,20359782500.581913,19484502286.788441,19735670510.933334,0
2010-10-27,19667166376.674229,19682388533.089306,17886160220.466324,17908994321.066666,0
2010-10-28,17962277389.221226,18533112732.600952,17764387572.588802,17886164855.466667,0
2010-10-29,18045995167.369850,18045995167.369850,17391437256.296745,17536048605.866665,0
2010-11-01,17376215969.820107,18099272753.859173,17170714253.338869,17718717098.666668,0
2010-11-02,17216381148.361073,17619770874.284878,17094602170.219816,17383824861.866665,0
2010-11-03,17185937531.860252,17589327274.098225,16797768214.055695,16812992102.400000,0
2010-11-04,16341103009.541142,16341103009.541142,15199432535.426531,15245099008.000000,0
2010-11-05,15214657975.001883,15283158564.616573,14712323204.420732,14963489723.733334,0
2010-11-08,15009157938.113758,15138547170.961086,14643822614.806042,14963489723.733334,0
